"day","stockNum","open","close","gain"
60,7,25.92,25.43,-0.0189043209876544
61,7,25.43,25.53,0.00393236335037363
62,7,25.67,25.4,-0.0105181145305806
63,7,25.54,25.85,0.0121378230227096
64,7,25.95,26.1,0.00578034682080933
65,7,26.02,26.06,0.0015372790161414
66,7,26.12,26.2,0.00306278713629396
67,7,26.1,25.99,-0.00421455938697329
68,7,25.97,25.79,-0.00693107431651905
69,7,25.78,25.97,0.00737005430566322
70,7,25.92,26.68,0.0293209876543209
71,7,26.67,26.62,-0.00187476565429324
72,7,26.68,26.84,0.00599700149925038
73,7,26.66,26.87,0.00787696924231061
74,7,26.59,26.68,0.00338473110191801
75,7,27.05,26.99,-0.00221811460258788
76,7,26.91,26.58,-0.012263099219621
77,7,26.65,26.33,-0.0120075046904315
78,7,26.53,26.78,0.00942329438371655
79,7,26.82,26.55,-0.0100671140939597
80,7,26.51,27.03,0.019615239532252
81,7,27,26.74,-0.00962962962962969
82,7,26.87,26.86,-0.000372162262746616
83,7,27.03,27.67,0.0236773954864965
84,7,27.76,27.7,-0.00216138328530268
85,7,27.94,27.91,-0.00107372942018615
86,7,27.96,27.81,-0.00536480686695287
87,7,27.78,28.36,0.0208783297336212
88,7,27.02,26.51,-0.0188749074759437
89,7,26.37,26.29,-0.00303375047402358
90,7,26.44,26.63,0.00718608169440233
1,8,17,16.9,-0.00588235294117655
2,8,16.9,16.89,-0.000591715976331243
3,8,16.89,16.73,-0.00947306098283008
4,8,16.7,17.01,0.0185628742514971
5,8,17.02,16.96,-0.00352526439482954
6,8,16.97,16.96,-0.00058927519151432
7,8,16.99,17.28,0.0170688640376694
8,8,17.24,17.01,-0.0133410672853826
9,8,17.1,17.21,0.00643274853801166
10,8,17.14,17,-0.00816802800466748
11,8,17,16.84,-0.00941176470588236
12,8,16.84,16.87,0.00178147268408558
13,8,16.84,16.7,-0.00831353919239908
14,8,16.7,16.53,-0.0101796407185628
15,8,16.54,16.98,0.0266021765417171
16,8,16.98,16.91,-0.00412249705535926
17,8,16.92,17.03,0.00650118203309689
18,8,17.08,17.02,-0.00351288056206082
19,8,16.81,17.17,0.0214158239143369
20,8,17.2,17.2,0
21,8,17.25,17.25,0
22,8,17.23,17.23,0
23,8,17.28,17.29,0.000578703703703589
24,8,17.29,17.27,-0.00115673799884324
25,8,17.27,17.33,0.00347423277359576
26,8,17.26,17.33,0.0040556199304749
